city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
Coogee,151.2531024,-33.91503454,93.41241287,0,5,0,0,6,1,3,3,House,Entire home/apt,0,0,0,moderate,319
Chippendale,151.2022603,-33.88425801,90,48,1,300,49,3,1,0,2,Apartment,Entire home/apt,73,1,0,strict_14_with_grace_period,109
Council of the City of Sydney,151.2036095,-33.91001532,100,2,3,0,50,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,100
Bondi Beach,151.2714004,-33.88345641,93.41241287,0,7,150,50,1,1,1,3,Apartment,Private room,364,0,0,strict_14_with_grace_period,65
North Bondi,151.2751434,-33.8839576,93.41241287,0,7,5000,540,12,4,6,7,House,Entire home/apt,63,1,0,strict_14_with_grace_period,2550
Balgowlah,151.2598303,-33.79594505,93.41241287,1,1,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,39
Kingsford,151.2338701,-33.92319118,93.41241287,1,1,150,0,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,43
Avalon Beach,151.3258366,-33.63128936,100,5,3,500,200,5,2,3,3,Bungalow,Entire home/apt,75,0,1,strict_14_with_grace_period,500
Manly Vale,151.2755623,-33.78422371,93.41241287,0,7,0,0,6,3,4,4,House,Entire home/apt,0,0,0,strict_14_with_grace_period,494
Saint Ives,151.1688694,-33.72912299,100,2,5,0,65,4,2,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,165
Randwick,151.2434461,-33.9270047,80,1,5,500,150,7,2.5,4,5,House,Entire home/apt,0,1,0,strict_14_with_grace_period,690
Matraville,151.2436097,-33.96222968,93.41241287,0,14,500,200,4,2,3,3,House,Entire home/apt,6,0,0,moderate,140
Mosman,151.2434877,-33.82677159,99,47,1,0,30,2,1.5,1,1,Bed and breakfast,Private room,279,1,1,flexible,77
Bronte,151.2661523,-33.89903459,95,49,2,350,90,4,1,2,2,Apartment,Entire home/apt,216,1,1,moderate,227
Cremorne Point,151.2295663,-33.84259889,93.41241287,0,2,0,90,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,150
Rose Bay,151.2626342,-33.87397383,100,2,1,0,80,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,106
North Bondi,151.2804057,-33.88881462,90,8,2,0,100,4,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,179
Rushcutters Bay,151.2268887,-33.87541285,93.41241287,0,7,500,100,4,2,2,2,Apartment,Entire home/apt,0,1,0,moderate,150
Rozelle,151.1657692,-33.86003872,92,5,2,0,20,2,2,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,139
Wahroonga,151.1384105,-33.71047595,93.41241287,0,3,500,120,6,3,4,4,House,Entire home/apt,0,0,0,flexible,451
Dee Why,151.2929232,-33.75700865,93,3,4,0,100,3,1,1,2,Apartment,Entire home/apt,0,1,0,flexible,50
Balgowlah,151.2647178,-33.79342412,93.41241287,0,3,0,0,4,2.5,2,2,Apartment,Entire home/apt,0,0,0,flexible,200
Woolloomooloo,151.2200801,-33.87077181,90,2,3,0,20,2,1,1,1,Apartment,Private room,0,1,0,moderate,99
Epping,151.0646603,-33.76896665,96,14,1,0,15,2,1.5,1,1,House,Private room,255,1,0,flexible,45
Enmore,151.1736161,-33.89775494,93.41241287,0,6,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,338
Edgecliff,151.2380808,-33.88105382,96,57,4,0,100,4,1,2,2,Apartment,Entire home/apt,2,1,1,strict_14_with_grace_period,250
Bondi Beach,151.279391,-33.88854649,100,1,3,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,198
Queenscliff,151.2886493,-33.78533256,93.41241287,0,7,750,0,4,1,2,2,Apartment,Entire home/apt,157,1,0,strict_14_with_grace_period,295
Surry Hills,151.2154362,-33.88681815,93.41241287,0,2,300,50,4,1.5,2,2,Apartment,Entire home/apt,0,1,0,flexible,200
Centennial Park,151.2292557,-33.8936618,100,2,7,0,30,5,1,2,3,Apartment,Entire home/apt,11,1,0,strict_14_with_grace_period,150
North Bondi,151.2769701,-33.87982083,93.41241287,0,2,150,10,2,1,1,1,Apartment,Private room,0,0,0,flexible,55
Pyrmont,151.1938262,-33.87336343,91,34,1,0,80,4,1,0,2,Condominium,Entire home/apt,39,0,0,strict_14_with_grace_period,130
Potts Point,151.2246428,-33.87261024,95,38,3,250,40,2,1,1,1,Condominium,Entire home/apt,352,0,0,strict_14_with_grace_period,125
Bondi Beach,151.2733745,-33.89486714,96,12,2,0,80,1,1,1,2,Apartment,Private room,87,1,0,strict_14_with_grace_period,155
Paddington,151.2339463,-33.88137893,93.41241287,0,3,200,100,4,2,3,2,Townhouse,Entire home/apt,83,0,0,moderate,401
Haymarket,151.2057566,-33.87841537,90,9,1,250,32,3,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,108
Manly,151.2855094,-33.79481405,80,10,3,400,210,4,1,2,3,Apartment,Entire home/apt,127,0,0,strict_14_with_grace_period,250
Tamarama,151.2718976,-33.89777011,93.41241287,0,3,1000,100,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,250
Matraville,151.2308466,-33.96057549,93.41241287,0,1,0,0,3,1,1,3,Apartment,Private room,0,0,0,flexible,100
Alexandria,151.1980934,-33.89535153,100,1,2,150,60,2,1,1,1,Apartment,Private room,0,0,0,moderate,85
North Bondi,151.2817613,-33.88274366,100,2,3,0,0,4,1,2,2,Apartment,Entire home/apt,0,1,0,flexible,187
Berala,151.0326478,-33.86760286,99,14,1,0,49,2,1,1,1,Townhouse,Private room,357,1,0,flexible,84
Balgowlah,151.2664171,-33.79070553,98,25,1,150,95,3,1.5,2,2,Apartment,Entire home/apt,39,1,1,moderate,140
Mascot,151.1908776,-33.92814804,99,24,5,0,40,4,1,2,2,House,Entire home/apt,177,0,1,flexible,115
Surry Hills,151.2130286,-33.89284778,73,4,1,150,10,2,1,1,1,Hostel,Shared room,361,0,0,strict_14_with_grace_period,55
Erskineville,151.1861093,-33.90638179,20,1,1,0,0,2,1,1,1,Condominium,Private room,156,0,0,flexible,34
Seaforth,151.2503554,-33.79717873,93.41241287,0,5,0,100,5,1.5,3,3,House,Entire home/apt,83,0,0,strict_14_with_grace_period,410
Pyrmont,151.1938744,-33.87360247,87,3,7,500,305,4,2,2,4,Apartment,Entire home/apt,166,0,0,strict_14_with_grace_period,220
Maroubra,151.2589277,-33.94039483,98,25,2,200,60,4,1,0,2,Apartment,Entire home/apt,308,0,1,strict_14_with_grace_period,130
Pyrmont,151.1943613,-33.87147771,94,43,2,400,170,4,1,2,2,House,Entire home/apt,59,0,0,strict_14_with_grace_period,170
Sydney City,151.2263361,-33.84127852,95,94,1,0,25,1,1,1,1,Apartment,Private room,162,0,1,moderate,85
Waterloo,151.2139356,-33.90013674,90,3,1,0,0,2,1,0,2,Apartment,Private room,0,0,0,flexible,60
Collaroy,151.2966393,-33.72711411,93.41241287,0,7,500,50,9,1.5,3,7,House,Entire home/apt,365,0,0,strict_14_with_grace_period,500
North Ryde,151.137275,-33.79440227,98,11,2,500,99,5,1,1,3,Apartment,Entire home/apt,150,0,0,moderate,142
Glebe,151.1860587,-33.873908,100,2,7,0,0,4,1,2,2,Apartment,Entire home/apt,2,0,0,strict_14_with_grace_period,110
North Sydney / Kirribilli,151.2157086,-33.84581635,97,15,4,300,160,5,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,290
Bondi Beach,151.2651156,-33.89074446,93.41241287,0,3,1500,0,7,2,3,3,House,Entire home/apt,0,0,0,strict_14_with_grace_period,501
Newtown,151.1741006,-33.90593862,90,30,2,0,0,2,1,0,1,Apartment,Entire home/apt,0,0,0,moderate,106
Rosebery,151.2068155,-33.91699084,80,1,2,0,0,2,2,1,1,House,Private room,363,1,0,moderate,59
Darlinghurst,151.2160992,-33.87921494,70,6,7,500,201,2,1,1,1,Apartment,Entire home/apt,114,0,0,strict_14_with_grace_period,169
Kurraba Point,151.2240175,-33.84587485,93.41241287,0,5,200,0,2,1,0,1,Apartment,Entire home/apt,0,0,0,moderate,85
West Pennant Hills,151.0204882,-33.75365585,60,1,1,0,0,1,1,1,1,House,Private room,179,1,0,flexible,88
Newtown,151.1769098,-33.89427399,93.41241287,0,5,0,0,2,1,1,1,House,Private room,0,0,0,moderate,98
Erskineville,151.18529,-33.90234341,98,10,2,150,0,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,85
Zetland,151.2083329,-33.90423701,93.41241287,0,1,300,45,3,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,254
Waverley,151.2563837,-33.90559273,100,2,3,0,100,6,1,2,6,Apartment,Entire home/apt,360,1,0,flexible,185
Surry Hills,151.2101555,-33.87924103,87,17,1,0,0,2,1,1,1,Bed and breakfast,Private room,365,0,0,strict_14_with_grace_period,130
Campbelltown,150.7822689,-34.07188468,100,2,1,650,229,16,1.5,4,9,House,Entire home/apt,193,1,0,moderate,206
Annandale,151.1701902,-33.88182329,95,42,3,0,55,2,1,0,1,Apartment,Entire home/apt,183,0,0,flexible,80
