,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
94,Sydney,151.2085488,-33.87723867,93.0,3,7,250,150,2,1.0,1.0,1.0,Apartment,Entire home/apt,355,0,0,strict_14_with_grace_period,179
638,North Bondi,151.2695392,-33.88024105,93.41241287,0,4,0,15,1,1.0,1.0,1.0,Apartment,Private room,2,0,0,flexible,80
4111,Randwick,151.2393843,-33.91476754,100.0,1,2,0,9,1,1.0,1.0,1.0,Apartment,Shared room,16,1,0,flexible,30
6658,Avalon Beach,151.3265759,-33.63076223,100.0,2,5,1000,250,6,2.0,4.0,5.0,House,Entire home/apt,186,1,0,strict_14_with_grace_period,451
6821,Paddington,151.2252374,-33.88047321,93.41241287,0,4,1000,150,6,1.5,3.0,3.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,401
7365,Homebush,151.076959,-33.86240628,93.41241287,0,1,0,10,2,2.0,1.0,2.0,Apartment,Private room,0,1,0,flexible,59
981,Forest Lodge,151.1806537,-33.88048874,95.0,54,2,800,80,3,1.0,0.0,1.0,Apartment,Entire home/apt,152,0,1,strict_14_with_grace_period,128
3228,Camperdown,151.1815604,-33.88425751,98.0,67,4,0,0,2,1.0,0.0,1.0,Apartment,Entire home/apt,156,0,0,strict_14_with_grace_period,120
6238,Darlinghurst,151.2126342,-33.87700853,90.0,64,2,450,129,4,1.0,1.0,2.0,Apartment,Entire home/apt,159,1,0,strict_14_with_grace_period,183
1194,Warrawee,151.1257803,-33.72836329,96.0,10,1,0,10,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,78
8862,Frenchs Forest,151.2251811,-33.74498006,72.0,5,3,0,0,2,1.0,2.0,2.0,House,Private room,23,1,0,flexible,30
5582,Ryde,151.1077439,-33.81409879,93.41241287,0,2,128,50,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,strict_14_with_grace_period,55
3154,The Rocks,151.2070139,-33.86191495,93.41241287,0,1,0,0,2,1.0,1.0,1.0,Boutique hotel,Private room,0,1,0,moderate,185
8677,Maroubra,151.2354507,-33.93999463,100.0,7,2,0,25,2,1.0,1.0,1.0,Apartment,Private room,124,1,0,strict_14_with_grace_period,70
4264,Edgecliff,151.2324542,-33.87686145,87.0,8,3,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,80
1166,Coogee,151.2538145,-33.92636909,100.0,3,4,0,50,6,1.0,3.0,3.0,Apartment,Entire home/apt,0,0,0,moderate,198
8291,Breakfast Point,151.1075262,-33.84118861,87.0,13,2,0,95,3,1.0,2.0,2.0,Apartment,Entire home/apt,153,0,0,strict_14_with_grace_period,150
3946,Hornsby,151.103135,-33.69966977,80.0,1,3,0,0,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,120
6325,Newtown,151.1785221,-33.89401476,90.0,2,2,0,25,2,2.0,1.0,1.0,House,Private room,0,1,0,moderate,70
9401,Redfern,151.2111566,-33.89656259,100.0,1,4,0,20,2,1.0,1.0,1.0,House,Private room,0,0,0,flexible,74
7104,Avalon Beach,151.3183619,-33.617925,60.0,2,2,0,0,2,1.0,1.0,1.0,House,Private room,362,0,0,flexible,289
3277,Bondi Beach,151.2720407,-33.88897599,92.0,72,1,300,126,2,1.0,1.0,1.0,Apartment,Entire home/apt,195,0,0,moderate,125
1050,Castle Hill,151.0048823,-33.73837718,98.0,8,1,0,30,2,1.0,1.0,1.0,Guest suite,Private room,175,1,1,flexible,65
7242,Brooklyn,151.2043752,-33.54904609,93.41241287,0,1,250,0,4,1.0,1.0,2.0,House,Entire home/apt,89,0,0,strict_14_with_grace_period,750
