,Date,type,region,year,Total Volume,PLU4046,PLU4225,PLU4770,Total Bags,Small Bags,Large Bags,XLarge Bags,AveragePrice
670,2/8/2015,conventional,Denver,2015,766576.39,153584.14,466313.49,5420.92,141257.84,92800.41,48427.25,30.18,0.95
7361,1/22/2017,conventional,Philadelphia,2017,489345.23,18201.14,287008.11,58242.14,125893.84,114958.9,9387.36,1547.58,1.51
17755,1/14/2018,organic,Denver,2018,36501.82,8395.91,839.11,53.61,27213.19,25789.59,1423.6,0.0,1.53
14343,8/21/2016,organic,Southeast,2016,64499.62,11946.01,13428.48,712.1,38413.03,32410.75,6002.28,0.0,1.65
11368,11/15/2015,organic,Seattle,2015,27437.74,2049.35,11965.96,17.31,13405.12,290.22,13114.9,0.0,1.5
2876,9/4/2016,conventional,Atlanta,2016,614657.03,356593.2,55475.65,130.69,202457.49,126235.35,75979.08,243.06,0.89
15853,1/1/2017,organic,Jacksonville,2017,3707.67,245.43,38.31,2.39,3421.54,910.0,2511.54,0.0,1.24
6547,6/4/2017,conventional,HartfordSpringfield,2017,288516.73,10922.08,216912.96,148.68,60533.01,59149.95,0.0,1383.06,1.81
2825,8/28/2016,conventional,Albany,2016,145323.22,34912.97,94928.79,53.85,15427.61,14367.64,269.97,790.0,1.18
17292,11/12/2017,organic,StLouis,2017,5719.05,10.52,1238.07,0.0,4470.46,2041.26,2429.2,0.0,1.96
2035,11/8/2015,conventional,Roanoke,2015,114124.6,53190.61,35852.04,135.05,24946.9,24873.75,73.15,0.0,1.01
14441,10/2/2016,organic,StLouis,2016,6734.06,572.55,704.25,0.0,5457.26,892.77,4564.49,0.0,1.23
5348,2/21/2016,conventional,StLouis,2016,207338.72,78891.03,27326.04,55.42,101066.23,74251.97,26792.44,21.82,1.0
12319,7/24/2016,organic,Charlotte,2016,8306.2,388.08,4288.98,1242.32,2386.82,2383.49,3.33,0.0,1.62
14844,1/15/2017,organic,Atlanta,2017,6291.29,1129.49,3582.5,0.0,1579.3,0.0,1579.3,0.0,1.62
14222,12/18/2016,organic,SouthCarolina,2016,7408.4,280.88,2148.75,219.66,4759.11,3481.51,1277.6,0.0,1.5
906,7/26/2015,conventional,HartfordSpringfield,2015,266049.58,3579.93,205203.65,2171.08,55094.92,52815.8,2279.12,0.0,1.3
7011,9/3/2017,conventional,Nashville,2017,188701.54,76965.28,42751.23,76.41,68908.62,57883.39,10273.89,751.34,1.34
6632,10/29/2017,conventional,Indianapolis,2017,152558.08,8565.38,65715.28,870.81,77406.61,36905.14,40362.33,139.14,1.63
14884,4/16/2017,organic,BaltimoreWashington,2017,24454.71,1248.3,11853.83,398.85,10953.73,10925.78,27.95,0.0,1.96
574,12/13/2015,conventional,DallasFtWorth,2015,980891.18,476178.99,319789.56,62436.8,122485.83,114978.22,7472.99,34.62,0.79
11470,11/29/2015,organic,SouthCentral,2015,48739.53,21480.33,3491.54,0.0,23767.66,21567.32,2200.34,0.0,1.47
8537,1/7/2018,conventional,Boston,2018,685417.51,12012.96,557314.83,4961.24,111128.48,58834.32,52294.16,0.0,1.28
12213,8/7/2016,organic,BuffaloRochester,2016,4350.7,51.48,215.02,0.0,4084.2,4084.2,0.0,0.0,1.52
16689,3/26/2017,organic,Portland,2017,77379.73,2870.05,5856.87,18.61,68634.2,148.03,68486.17,0.0,0.68
