,Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Type,Outlet_Size,Outlet_Location_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
3191,NCV29,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,11.8,0.022843501,177.8686,1997,4621.9836
5063,FDC34,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,16.0,0.173027688,155.2972,1999,3583.3356
1753,FDD04,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,16.0,0.089971292,143.2154,1997,1701.7848
5878,FDB23,Regular,Starchy Foods,OUT018,Supermarket Type2,Medium,Tier 3,19.2,0.005611367,226.2062,2009,1579.9434
652,NCE31,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,7.67,0.184843579,33.1216,1997,727.0536
1628,FDT24,Regular,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,12.35,0.186616421,78.6328,2009,1004.0264
1464,FDP34,LF,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,12.85,0.137786856,157.763,2009,2659.871
5093,FDD45,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,8.615,0.116722514,95.4436,2009,567.2616
5750,FDL43,Low Fat,Meat,OUT046,Supermarket Type1,Small,Tier 1,10.1,0.027064381,76.367,1997,765.67
3019,NCQ43,LF,Others,OUT013,Supermarket Type1,High,Tier 3,17.75,0.111209003,107.7912,1987,982.7208
2968,DRI23,Low Fat,Hard Drinks,OUT049,Supermarket Type1,Medium,Tier 1,18.85,0.137410256,161.7578,1999,1604.578
2042,FDS31,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.0,178.5318,1985,180.4318
3040,DRD12,Low Fat,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,6.96,0.077129323,92.7146,1987,1733.0774
2180,FDK14,LF,Canned,OUT013,Supermarket Type1,High,Tier 3,6.98,0.041071581,82.5934,1987,1310.2944
3579,FDJ27,Regular,Meat,OUT049,Supermarket Type1,Medium,Tier 1,17.7,0.122065518,103.3674,1999,2546.685
3749,FDR23,Low Fat,Breads,OUT018,Supermarket Type2,Medium,Tier 3,15.85,0.082120687,177.437,2009,5645.984
1399,NCM53,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,18.75,0.052121825,104.828,1999,2343.616
5892,FDX08,Low Fat,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.039576776,179.9318,1985,360.8636
2413,FDH38,Low Fat,Canned,OUT046,Supermarket Type1,Small,Tier 1,6.425,0.01043823,115.8808,1997,1757.712
2655,FDK33,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,17.85,0.011281018,213.756,2009,3408.896
4431,FDU07,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,11.1,0.059797172,151.8366,1987,1057.9562
4489,FDI60,Regular,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,7.22,0.038477325,62.951,2009,1138.518
