,name,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,selling_price
1203,Maruti Swift Dzire VDI,2017,35000,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,711000
4157,Hyundai i20 Sportz 1.4 CRDi,2014,70000,Diesel,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,440000
9519,Renault Duster 85PS Diesel RxL,2015,64677,Diesel,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,5.0,567000
12251,Skoda Yeti Ambition 4WD,2011,97000,Diesel,Manual,First Owner,17.67 kmpl,1968 CC,138.08 bhp,5.0,600000
720,Hyundai Accent GLE,2004,120000,Petrol,Manual,Second Owner,13.2 kmpl,1495 CC,94 bhp,5.0,80000
4449,Maruti Wagon R LXI BSIII,2012,60000,Petrol,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,220000
4240,Maruti Baleno Alpha 1.3,2018,38817,Diesel,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0,740000
1262,Hyundai Getz GLE,2006,100000,Petrol,Manual,Fourth & Above Owner,15.3 kmpl,1341 CC,83 bhp,5.0,81000
10328,Maruti Baleno Zeta Automatic,2018,4131,Petrol,Automatic,Second Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0,775000
2061,BMW 3 Series 320d Luxury Line,2012,140000,Diesel,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,5.0,1300000
7714,Hyundai Venue SX Plus Turbo DCT BSIV,2019,3500,Petrol,Automatic,First Owner,18.15 kmpl,998 CC,118.35 bhp,5.0,1125000
11820,Honda Amaze VX i-DTEC,2014,74885,Diesel,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,5.0,540000
9151,Honda City 1.5 V MT,2012,42750,Petrol,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,5.0,633000
12270,Hyundai Creta 1.6 VTVT S,2016,26000,Petrol,Manual,First Owner,15.29 kmpl,1591 CC,121.3 bhp,5.0,1250000
7911,Tata Indica GLS BS IV,2009,113000,Petrol,Manual,First Owner,15.3 kmpl,1193 CC,65.3 bhp,5.0,110000
11201,Toyota Corolla Altis 1.8 VL CVT,2018,5000,Petrol,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0,1695000
703,Mahindra TUV 300 T8,2015,40000,Diesel,Manual,Second Owner,18.49 kmpl,1493 CC,100 bhp,7.0,590000
8747,Hyundai EON Sportz,2016,14077,Petrol,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,395000
7423,Maruti Swift Dzire VXi,2012,112048,Petrol,Manual,Second Owner,17.5 kmpl,1298 CC,85.8 bhp,5.0,380000
10380,Mercedes-Benz M-Class ML 350 CDI Corporate,2012,63888,Diesel,Automatic,Second Owner,14.0 kmpl,2987 CC,224 bhp,5.0,2258000
4442,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,29700,Diesel,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0,810000
10369,Mercedes-Benz M-Class ML 250 CDI,2016,52000,Diesel,Automatic,Third Owner,15.26 kmpl,2143 CC,203.2 bhp,5.0,3500000
7403,Mitsubishi Pajero Sport Anniversary Edition,2015,160000,Diesel,Manual,Second Owner,13.5 kmpl,2477 CC,178 bhp,7.0,1250000
11683,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,2015,48000,Diesel,Automatic,First Owner,16.96 kmpl,1968 CC,138.03 bhp,5.0,1350000
4346,Maruti Ertiga ZDI,2014,90000,Diesel,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,7.0,650000
2631,Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5.0,3200000
11630,Maruti Alto 800 2016-2019 LXI,2013,24027,Petrol,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,5.0,201000
82,BMW X1 sDrive20i xLine,2016,30000,Petrol,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,5.0,2500000
6255,Maruti Alto LX BSIII,2005,50800,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,110000
4045,Mahindra Ssangyong Rexton RX7,2013,200000,Diesel,Automatic,First Owner,11.18 kmpl,2696 CC,184 bhp,7.0,850000
2430,Chevrolet Spark 1.0,2008,70000,Petrol,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,5.0,45000
7366,Honda City i-DTEC ZX,2017,69000,Diesel,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,5.0,925000
8274,Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,First Owner,20.73 kmpl,1373 CC,91.1 bhp,5.0,990000
8333,Skoda Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,Second Owner,14.7 kmpl,1798 CC,177.5 bhp,5.0,1000000
6222,Maruti Alto LXi,2010,28000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,130000
8107,Kia Seltos HTX Plus AT D,2019,20000,Diesel,Automatic,First Owner,17.8 kmpl,1493 CC,113.4 bhp,5.0,1575000
3089,Maruti Swift AMT ZXI,2018,69779,Petrol,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0,600000
392,Hyundai Verna 1.6 SX CRDi (O),2014,70000,Diesel,Manual,Third Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0,535000
5897,Toyota Etios Liva 1.2 V Dual Tone,2017,35000,Petrol,Manual,First Owner,17.71 kmpl,1197 CC,78.9 bhp,5.0,549000
6776,Maruti Swift Dzire VDI,2015,135000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,600000
9185,Maruti Wagon R VXI,2016,22000,Petrol,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,370000
1202,Mahindra Bolero 2011-2019 SLE,2014,120000,Diesel,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0,430000
7644,Tata Indica Vista TDI LS,2014,250000,Diesel,Manual,Second Owner,19.1 kmpl,1405 CC,70 bhp,5.0,110000
9363,Toyota Corolla 1.8 J,2014,40748,Petrol,Manual,First Owner,14.53 kmpl,1798 CC,138 bhp,5.0,630000
6731,Maruti Wagon R VXI BS IV,2016,20000,Petrol,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,5.0,400000
3161,Maruti S-Cross 2017-2020 Delta DDiS 200 SH,2016,32000,Diesel,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0,690000
6306,Maruti Wagon R LXI,2006,168000,Petrol,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,90000
11210,Mahindra Scorpio S8 8 Seater,2015,61000,Diesel,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,8.0,950000
13612,Renault Fluence Diesel E4,2013,57000,Diesel,Manual,First Owner,21.8 kmpl,1461 CC,78 bhp,5.0,461000
